,computational_label,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
3,-1.0,1.875,0.08695652173913043,-0.4166666666666667,0.7993827160493827,0.0,0.56,1.2765957446808511,-3.0,-1.3191489361702127,0.5043330408134182,-0.8100501684638891,-1.0588235294117647,2.141609276964446,0.11580524766925683,-0.2955750410220576,0.7609214739998942,0.09557764915135063,0.5654065869909813,1.0677239477155533,-0.5577272727272727,-0.8235693501454898,0.32228156365759075,-0.7172050017994825,0.7061608075182735,2.0,-1.0,-2.2,0.5031457217123764,-1.1554097425290637,-1.0,1.0,0.0,-0.5,0.6785714285714288,-0.43669230159359357,0.5,0.3148148148148148,-0.7868852459016393,-1.0,-0.020644502719161517,-0.8996610033800582,0.3469387755102041,0.9859154929577463,-0.5955056179775283,-1.506172839506172,-0.5871519113132971,-0.925742387823571,-1.343283582089552,1.0,0.0,-1.0,0.24999999999999983,-0.3437499999999999,0.0,0.0,-1.0,-1.0,-1.2574089754445383,-0.5846088435374147,-1.0,10.0,0.0,-1.4285714285714286,1.515151515151515,-0.7518796992481205,2.1052631578947367,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.125,-0.8888888888888888,1.0948427000710408,-0.4649738681435249,6.0,0.0,-1.0,-1.0,-0.21428571428571427,-0.298469387755102,0.0,0.0,0.0,0.0,-0.1809272521673576,1.3376467594780275,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.6666666666666666,-0.5,-0.8891756294961671,0.3437013996889579,-2.0,0.0,-0.15043686583990984,-0.16387280739595278,-0.3443211388864683,0.019287767541476403,-0.7581330128205126,0.0,-0.36285195277020893,-0.36285195277020893,-0.36285195277020893,-0.364173293768546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7586206896551724,-8.75,-1.5411764705882354,0.9192284508740206,-1.2255616349637546,0.8857142857142857
4,-1.0,0.0,1.391304347826087,1.4583333333333333,-0.12422839506172849,0.39637964629412015,0.0,0.723404255319149,0.0,-0.7021276595744681,0.7318146242627217,-0.6871003616413076,0.058823529411764705,0.0,1.4941128996069257,1.5334724673577882,-0.11370271485199526,0.4848368549424684,0.0,-0.05765079745772863,0.7164987714987715,0.546556741028128,-0.15392908620877307,-0.10902394368010748,0.0,0.4,0.0,-0.4,0.7127897724258662,-0.7238504488165711,0.0,0.0,0.5,0.5,-0.25,0.0,0.0,0.0,-0.4426229508196721,-0.42424242424242425,-0.4790871011457441,-0.5149631440547854,0.0,0.8309859154929577,0.0,-0.7160493827160487,0.393762559901067,-0.4897440613340577,0.04477611940298543,1.0,0.0,-1.0,0.24999999999999983,-0.3437499999999999,0.0,0.0,0.0,0.0,0.9779847586790854,-1.0416666666666659,0.0,0.0,0.0,0.0,-0.2878787878787879,-0.142857142857143,0.0,0.0,14.0,14.0,1.75,3.0625,0.0,0.6666666666666666,1.625,1.3333333333333333,0.14371093571787022,0.40668471036362414,0.0,0.0,-1.0,-1.0,-0.21428571428571427,-0.298469387755102,0.0,0.0,1.0,1.0,0.6332453825857519,-0.35622114790447484,0.0,0.0,1.3333333333333333,1.3333333333333333,0.8229606007612386,0.9602272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.6390949837003704,0.5334370139968897,0.0,0.26275264677574595,-0.2814966178128523,-0.3551801607181758,-0.10661156853821162,-0.542313783517632,0.0,0.0,0.6371480472297911,0.6371480472297911,1.0716394187102634,0.38567833827893166,1.0,0.0,2.25333333333e-05,2.25333333333e-05,2.8166666666625e-06,4.9291666666593755e-06,0.0,-1.0689655172413792,-8.75,0.38823529411764707,-0.5913200723327304,-0.476031253934729,0.0
5,-1.0,2.0,-0.4782608695652174,-1.0,0.3824938271604936,-0.9141738828814091,0.64,-0.02127659574468085,-9.0,-0.14893617021276595,0.0557689493516774,-0.3581277524692935,-0.47058823529411764,2.411938427447466,-0.4537123489064309,-0.8970234998289413,0.36049117256207436,-0.861157711387952,0.6886199089647027,-0.10079146180597179,-0.1798157248157247,-0.1471483996120272,0.6563249545316091,-0.022959876314961842,1.909827126116719,0.0,-2.0,-0.4,0.11345936024614094,-0.677405865691259,-0.5,1.0,0.0,-0.5,0.3949999999999996,-0.8425746769206375,0.5,0.2777777777777778,0.13114754098360656,-0.12121212121212122,0.062039423432301684,-0.48481557162584693,0.30612244897959184,0.0,-0.6404494382022474,-0.6913580246913575,-0.6416107590044839,-0.8044309277245987,-0.8059701492537312,1.0,0.0,-1.0,0.24999999999999983,-0.3437499999999999,0.0,0.0,-2.0,-2.0,-1.097950889077053,-2.2817666666666647,-0.5,0.0,0.0,0.0,1.2075757575757575,-0.08073684210526344,2.1052631578947367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.8440677038186049,-0.08077700358212016,8.0,0.0,-1.0,-1.0,-0.21428571428571427,-0.298469387755102,0.0,0.0,1.0,1.0,1.876094986807388,0.22621467776525644,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.5,1.0063245186822878,-0.131829051321929,2.0,0.471366698748797,0.4885146561443065,0.2968331461161351,0.049268186006826004,-0.027045569779127428,-0.17832532051282046,0.0,-0.18891916439600365,-0.18891916439600365,-0.17048228882833788,-0.18437668272997035,0.17393278837420528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.023529411764705882,0.8243423749246538,-0.12942821396221674,1.1071428571428572
6,-1.0,1.25,0.9130434782608695,0.5833333333333334,2.1754510921177594,0.024663178853725123,2.16,0.6382978723404256,-3.0,-0.6808510638297872,-0.37059612629928895,-0.1224262017221575,-2.823529411764706,1.4916519146499356,0.9714829160568762,0.6692924326084055,2.2297826853184453,0.12181044151228665,2.392799318423277,1.700593596354479,0.1980712530712531,-0.4316003879728419,0.9511400435702707,-0.710973143268928,1.6327648219050934,0.2,-1.0,-0.4,-0.9804890987215535,0.27965538710410376,-3.25,1.0,0.5,0.0,1.75,-0.35501832663491256,1.5,0.6296296296296297,0.0,-0.5303030303030303,1.3199363159939728,-0.26138111745033,1.6734693877551021,0.4366197183098592,-0.5955056179775283,-1.0246913580246908,-1.0480278725757177,-0.4829272124868302,-1.9253731343283575,1.0,0.0,-1.0,0.24999999999999983,-0.3437499999999999,0.0,0.0,-1.0,-1.0,-1.278903145964958,-0.5947978303747529,-1.0,0.0,0.0,0.0,0.3321678321678322,0.5374382702317925,0.0,0.0,14.0,14.0,7.538461538461538,6.958579881656804,14.0,1.6666666666666667,0.25,-0.2222222222222222,1.4622192899030344,-0.6385913090023109,10.0,0.0,-1.0,-1.0,-0.21428571428571427,-0.298469387755102,0.0,0.0,0.0,0.0,-0.19484473310330833,1.3237093543432557,-1.0,0.0,0.8333333333333334,0.8333333333333334,0.15826165399254588,0.20292207792207792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.5,-0.7523793788044492,0.4712102110116226,-2.0,-0.33420729481231964,-0.078283540022548,-0.007498130308902136,0.5310695776600368,-0.563344803880019,0.5341746794871793,0.0,-0.36285195277020893,-0.36285195277020893,-0.36285195277020893,-0.364173293768546,0.0,0.0,0.000310120689655,0.000310120689655,1.1927718832884614e-05,2.2937920832470412e-05,0.0,1.7586206896551724,-1.0,-1.1764705882352942,1.2184819400009275,-0.9254894502150856,1.1071428571428572
7,-1.0,1.125,-0.08695652173913043,-0.3333333333333333,0.5239197530864197,-0.4366735583287472,0.72,0.851063829787234,1.0,-0.8085106382978723,0.3563775393829765,-0.414633704310863,0.11764705882352941,1.308531147296086,-0.1159353659250648,-0.3035129791305216,0.5019452055085649,-0.4467680885745376,0.7958799909032589,0.4720889794939442,1.010110565110565,0.6069835111542191,1.1353147035505664,0.599044561567153,0.2451328460378234,0.8,0.0,-0.8,0.1991618481778156,-0.3868559405789275,0.0,1.0,0.0,-0.5,0.5,-0.6293506699437085,0.5,0.2777777777777778,-0.6885245901639344,-0.8787878787878788,0.04398176666255973,-0.7897922592533689,0.30612244897959184,0.9999999999999999,-0.0337078651685396,-0.901234567901234,0.1617715257381356,-0.47976630189544395,0.0,0.0,0.0,0.0,-1.2500000000000004,0.7812500000000003,0.0,0.0,0.0,0.0,-0.3259949195596952,0.5208333333333329,0.0,5.0,0.0,-0.7142857142857143,1.2499999999999998,-0.24436090225563925,2.1052631578947367,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.25,-0.1111111111111111,0.8992198549203886,0.15275325764751055,10.0,0.0,0.0,0.0,1.2857142857142858,0.8265306122448981,0.0,0.0,-0.5,-0.5,-0.4221635883905013,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,1.0287007509515482,1.0288149350649352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.2500806457957972,0.5334370139968897,0.0,-0.2666025024061599,-0.3093996617812852,-0.23827011146570606,-0.48132182732463863,-0.20929723767977712,0.008533653846154055,0.0,0.0,0.0,0.0,0.015173887240356076,0.36285195277020893,0.0,0.0,0.0,0.0,0.0,0.0,-0.8620689655172413,0.0,0.6588235294117647,-0.11874623267028317,0.6522396474985487,-0.4
8,0.0,1.125,-0.08695652173913043,-0.3333333333333333,0.5239197530864197,-0.4366735583287472,0.72,0.851063829787234,1.0,-0.8085106382978723,0.3563775393829765,-0.414633704310863,0.11764705882352941,1.308531147296086,-0.1159353659250648,-0.3035129791305216,0.5019452055085649,-0.4467680885745376,0.7958799909032589,0.4720889794939442,1.010110565110565,0.6069835111542191,1.1353147035505664,0.599044561567153,0.2451328460378234,0.8,0.0,-0.8,0.1991618481778156,-0.3868559405789275,0.0,1.0,0.0,-0.5,0.5,-0.6293506699437085,0.5,0.2777777777777778,-0.6885245901639344,-0.8787878787878788,0.04398176666255973,-0.7897922592533689,0.30612244897959184,0.9999999999999999,-0.0337078651685396,-0.901234567901234,0.1617715257381356,-0.47976630189544395,0.0,0.0,0.0,0.0,-1.2500000000000004,0.7812500000000003,0.0,0.0,0.0,0.0,-0.3259949195596952,0.5208333333333329,0.0,5.0,0.0,-0.7142857142857143,1.2499999999999998,-0.24436090225563925,2.1052631578947367,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.25,-0.1111111111111111,0.8992198549203886,0.15275325764751055,10.0,0.0,0.0,0.0,1.2857142857142858,0.8265306122448981,0.0,0.0,-0.5,-0.5,-0.4221635883905013,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,1.0287007509515482,1.0288149350649352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.2500806457957972,0.5334370139968897,0.0,-0.2666025024061599,-0.3093996617812852,-0.23827011146570606,-0.48132182732463863,-0.20929723767977712,0.008533653846154055,0.0,0.0,0.0,0.0,0.015173887240356076,0.36285195277020893,0.0,0.0,0.0,0.0,0.0,0.0,-0.8620689655172413,0.0,0.6588235294117647,-0.11874623267028317,0.6522396474985487,-0.4
9,-1.0,1.75,-0.6521739130434783,-1.0833333333333333,0.2592592592592593,-0.8462762713629128,0.52,1.1702127659574468,1.0,-1.127659574468085,0.32185458904920655,-0.651444231175842,-1.3529411764705883,2.0274523204860078,-0.5981769765088171,-0.9358301553188328,0.22590458332919566,-0.7445888205643398,0.5342807973904573,0.4720889794939442,0.0,-0.1905237633365665,1.0562444808189226,0.016320959645472505,2.24947209653092,1.8,0.0,-1.8,0.32145421109401795,-0.9017086614975497,-1.25,1.0,-0.5,-1.0,0.25,-1.258701339887417,0.5,0.2777777777777778,-0.9016393442622951,-1.0757575757575757,-0.06911420475545192,-1.0226692665244428,0.5510204081632653,1.3380281690140843,-0.0337078651685396,-1.1975308641975302,0.04266501777709082,-0.6974008496505109,-0.970149253731343,0.0,0.0,0.0,-1.7500000000000009,0.6562500000000003,-1.0,0.0,0.0,0.0,-1.1953147050522157,0.05787037037037058,-1.0,10.0,0.0,-1.4285714285714286,1.515151515151515,-0.7518796992481205,2.1052631578947367,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.25,-0.6666666666666666,0.9779187006706508,-0.2610609615935635,5.0,0.0,0.0,0.0,1.7857142857142858,0.7015306122448981,1.0,0.0,-0.5,-0.5,-0.7036059806508355,-0.316641020359533,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.5,-0.852126644933827,-0.9059961983756698,-1.0,-0.2781520692974014,-0.3093996617812852,-0.23515942279380003,-0.7960467765374115,-0.1625078262639872,-0.9433894230769229,0.0,0.0,0.0,-0.12095065092340296,-0.02697579953841085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8620689655172413,-1.0,0.611764705882353,0.4579063692987743,0.39476676615503054,1.1071428571428572
10,-1.0,2.0,-0.4782608695652174,-1.0,0.3839845679012346,-0.9137385437075157,0.64,-0.02127659574468085,-9.0,-0.14893617021276595,0.056493931308686345,-0.3521950998014678,-0.47058823529411764,2.411938427447466,-0.4537123489064309,-0.8970234998289413,0.36214732780476694,-0.8608128276312885,0.6886199089647027,-0.10079146180597179,-0.1798157248157247,-0.1471483996120272,0.6954504871358386,-0.054479873071576215,1.909827126116719,0.0,-2.0,-0.4,0.11492686860113559,-0.6702022710831713,-0.5,1.0,0.0,-0.5,0.3960000000000008,-0.8401948922540222,0.5,0.2777777777777778,0.13114754098360656,-0.12121212121212122,0.06358506837501546,-0.4800866615270198,0.30612244897959184,0.0,-0.6404494382022474,-0.6913580246913575,-0.6366189519245639,-0.7985975795676851,-0.8059701492537312,1.0,0.0,-1.0,0.24999999999999983,-0.3437499999999999,0.0,0.0,-2.0,-2.0,-1.0783911939034716,-2.2778624999999977,-0.5,0.0,0.0,0.0,1.2054545454545456,-0.07689864661654161,2.1052631578947367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.8450120899676081,-0.07498709559997664,8.0,0.0,-1.0,-1.0,-0.21428571428571427,-0.298469387755102,0.0,0.0,1.0,1.0,1.8583641160949866,0.22995357493366367,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.5,0.9899859164902954,-0.13022934992223928,2.0,0.471366698748797,0.4885146561443065,0.2968331461161351,0.05764979749786985,-0.024688647657676078,-0.17832532051282046,0.0,-0.18891916439600365,-0.18891916439600365,-0.1649164396003633,-0.18579648759643916,0.17393278837420528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.023529411764705882,0.8705364677516579,-0.17518161270062213,1.1071428571428572
11,-1.0,-0.875,0.5652173913043478,0.9583333333333334,0.004320987654320743,1.0178971010396984,-0.32,-0.0425531914893617,-1.0,0.0425531914893617,-0.36687827010949836,0.1650138807654607,0.0,-0.9320761129369588,0.5929055189658202,0.9231789980818601,0.04835801176850033,1.0096630435513358,-0.27265784373292234,-0.8446156613502817,0.1980712530712531,0.3918525703200776,0.15395260694928545,0.7451407825945637,-0.774010906137603,0.0,0.0,0.0,-0.4269750499531411,0.3320656769947118,0.0,-1.0,0.5,1.0,-0.18333333333333357,1.3705859034329648,-0.5,-0.7222222222222222,0.18032786885245902,0.7424242424242424,-0.33049156092152343,1.0211689384663936,-0.7959183673469388,0.07042253521126766,0.9662921348314604,1.0123456790123457,0.5614005255835521,1.2460279050049257,1.3283582089552237,1.0,0.0,-1.0,0.24999999999999983,-0.3437499999999999,0.0,0.0,0.0,0.0,-0.3259949195596952,0.5208333333333329,0.0,0.0,-1.0,-0.7142857142857143,-0.4292929292929293,-0.37593984962406024,0.0,0.0,6.0,6.0,1.7,2.4366666666666665,0.0,0.0,-0.75,-0.5555555555555556,-0.18052830877321044,-0.5957238065361629,0.0,0.0,-1.0,-1.0,-0.21428571428571427,-0.298469387755102,0.0,0.0,-0.5,-0.5,-0.4221635883905013,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,0.6858005006343655,0.7620851370851371,0.0,0.0,8.0,8.0,2.2666666666666666,3.2488888888888887,0.0,-1.0,1.0,2.0,1.3004193581381454,1.6125038880248834,0.0,-0.4672762271414822,0.02459131905298766,0.12295861055938584,-0.6655349784896356,0.22181933727660735,-1.0693509615384613,0.0,-0.36285195277020893,-0.36285195277020893,-0.36285195277020893,-0.364173293768546,0.0,0.0,0.000310120689655,0.000310120689655,5.1686781609166664e-05,8.614463601527778e-05,0.0,-0.896551724137931,-1.0,0.6352941176470588,-0.45714285714285696,0.2869429699941422,-0.4142857142857143
12,-1.0,2.0,-0.4782608695652174,-1.0,0.383530864197531,-0.9123871871011883,0.64,-0.02127659574468085,-9.0,-0.14893617021276595,0.049451249440597554,-0.34839587317016923,-0.47058823529411764,2.411938427447466,-0.4537123489064309,-0.8970234998289413,0.36155890522701895,-0.8594373751188442,0.6886199089647027,-0.10079146180597179,-0.1798157248157247,-0.1471483996120272,0.664801791011121,-0.03057576778055803,1.909827126116719,0.0,-2.0,-0.4,0.10758932682616282,-0.6659642281475744,-0.5,1.0,0.0,-0.5,0.39700000000000024,-0.8378218206612218,0.5,0.2777777777777778,0.13114754098360656,-0.12121212121212122,0.06739263274608849,-0.4760894235877443,0.30612244897959184,0.0,-0.6404494382022474,-0.6913580246913575,-0.6444266501777715,-0.797073739305262,-0.8059701492537312,1.0,0.0,-1.0,0.24999999999999983,-0.3437499999999999,0.0,0.0,-2.0,-2.0,-1.097950889077053,-2.2768333333333315,-0.5,0.0,0.0,0.0,1.2033333333333334,-0.07307127819548903,2.1052631578947367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.840290159222592,-0.07158075752066133,8.0,0.0,-1.0,-1.0,-0.21428571428571427,-0.298469387755102,0.0,0.0,1.0,1.0,1.8659630606860156,0.25858805568681587,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.5,0.9969881745725777,-0.1179779782270609,2.0,0.471366698748797,0.4885146561443065,0.2968331461161351,0.055780191238704584,-0.019076800335565493,-0.17832532051282046,0.0,-0.18891916439600365,-0.18891916439600365,-0.16978655767484105,-0.18453379228486647,0.17393278837420528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.023529411764705882,0.8352115732368897,-0.13985485375447534,1.1071428571428572
