ICSD,kappa_exp,composition,kappa_latt_comp
646828.0,3.17,Zr0.35 Hf0.35 Ti0.3 Ni1 Sn1,
14388.0,3.23848,In1.8 Ge0.2 O3,
2084.0,3.377777778,Sb2 Te3,
646828.0,3.3939999999999997,Zr0.15 Hf0.15 Ti0.7 Ni1 Sn1,
98592.0,3.5909,Ca0.9 Bi0.1 Mn1 O3,
247232.0,3.69579,La0.8 Sr0.2 Co1 O3,
94312.0,3.78035,Ba1 Pb1 O3,
644477.0,3.81187,Mo3 Te4,
646828.0,3.8139999999999996,Zr0.4 Hf0.4 Ti0.2 Ni1 Sn1,
646828.0,3.948955807,Zr0.5 Hf0.5 Ni1 Sn1,
63099.0,3.99643,Na0.02 Pb1 Te1,
181231.0,4.07,Ba0.3 Sr0.6 La0.1 Ti1 O3,
180947.0,4.11,Mg2 Si0.6 Ge0.4 Ag0.02,
53910.0,4.139469999999999,Si0.7956 Ge0.1989 P0.0055,
174464.0,4.195,Sr1 Dy0.08 Ti0.92 O3,
63099.0,4.29,Pb0.98 Te1 Na0.2,
53910.0,4.33976,Si0.79936 Ge0.19984 B0.0008,
162886.0,4.37,Sr2 Ti0.8 Nb0.2 O4,
163708.0,4.5,Mg2 Si1,
9119.0,4.59,Fe0.978 Co0.00196 Si1.96 Y0.04 O0.06,
162886.0,4.96,Sr3 Ti1.6 Nb0.4 O7,
73666.0,5.09,Tl2 Sn1 Te5,
163708.0,5.2,Mg1.9 Ca0.1 Si1,
174464.0,5.53,Sr1 Nd0.2 Ti0.8 O3,
163708.0,5.6,Mg1.95 Ca0.05 Si1,
9119.0,5.69,Fe0.998 Co0.002 Si2,
102553.0,5.80227,Nb1 Co1.1 Sn1,
65091.0,5.88,Sr0.9 La0.1 Ti1 O3,
174464.0,5.88,Sr1 Nb0.15 Ti0.85 O3,
174464.0,5.98,Sr1 Nd0.24 Ti0.76 O3,
105382.0,6.02,Zr1 Ni0.76 Co0.004 Cu0.2 Sn1,
174568.0,6.0761,Ti1 Ni1 Sn1,
163708.0,6.16,Mg2 Si0.997 Bi0.003,
174464.0,6.19,Sr1 Nd0.17 Ti0.83 O3,
168009.0,6.39,Fe1.94 Ti0.06 O3,
163708.0,6.55,Mg2 Si0.995 Bi0.005,
163708.0,6.55,Mg2 Si0.994 Bi0.006,
157800.0,6.5859,Cu1 Cr1 O2,
84729.0,6.84,Fe1.96 Sn0.04 O3,
14388.0,6.84738,In1.9 Ge0.1 O3,
102553.0,6.8867199999999995,Nb1 Co1.05 Sn1,
174568.0,6.8928,Ti0.99 Nb0.01 Ni1 Sn1,
102553.0,6.904439999999999,Nb1 Co1 Sn1,
174568.0,6.9595,Ti0.95 Nb0.05 Ni1 Sn1,
157801.0,6.9663,Cu1 Cr0.99 Mg0.01 O2,
181231.0,7.0,Sr0.9 Y0.1 Ti1 O3,
163708.0,7.08,Mg2 Si0.9985 Bi0.0015,
163708.0,7.13,Mg2 Si0.98 Bi0.02,
157803.0,7.1396,Cu1 Cr0.97 Mg0.03 O2,
174568.0,7.4261,Ti0.98 Nb0.02 Ni1 Sn1,
157802.0,7.5581,Cu1 Cr0.98 Mg0.02 O2,
168009.0,7.82,Fe1.96 Ti0.04 O3,
163708.0,7.83,Mg2 Si0.98 Ag0.02,
174464.0,7.96,Sr1 Ti0.8 Nb0.2 O3,
105382.0,7.98,Zr1 Ni1.98 Cu0.02 Sn1,
,8.118681,Nb1 Co2 Sn1,
24731.0,8.177,W1 O2.722,
105382.0,8.35,Zr0.94 Y0.06 Ni1 Sn0.96 Sb0.04,
105382.0,8.5,Zr1 Ni1 Sn0.98 Sb0.02,
163708.0,8.52,Mg2 Si0.999 Bi0.001,
646828.0,8.8594,Zr0.95 Nb0.05 Ni1 Sn1,
14388.0,8.86791,In1.94 Ge0.06 O3,
68855.0,9.07,Tl2 Ge1 Te5,
14388.0,9.1565,In1.998 Ge0.002 O3,
157804.0,9.2934,Cu1 Cr0.96 Mg0.04 O2,
14388.0,9.41949,In1.985 Ge0.015 O3,
157805.0,9.5221,Cu1 Cr0.95 Mg0.05 O2,
14388.0,9.6695,In2 O3,
646828.0,9.6761,Zr0.99 Nb0.01 Ni1 Sn1,
14388.0,9.71545,In1.994 Ge0.006 O3,
261375.0,9.811,Nd2 Cu0.98 Ni0.02 O4,
646828.0,10.0594,Zr0.98 Nb0.02 Ni1 Sn1,
646828.0,10.1428,Zr1 Ni1 Sn1,
261375.0,17.1,Nd2 Cu0.98 Zn0.02 O4,
261375.0,29.6,Nd2 Cu1 O4,
26170.0,34.5,Zn0.95 Al0.05 O1,
26170.0,40.29,Zn0.98 Al0.02 O1,
26170.0,44.495,Zn0.995 Al0.005 O1,
26170.0,44.495,Zn0.99 Al0.01 O1,
26170.0,48.7,Zn1 O1,
84182.0,,Se2 W1,0.08
2002.0,,Ga1 Se1,0.12
16948.0,,Mo1 Se2,0.12
603743.0,,Hf1 Se2,0.16
638847.0,,Hf1 S2,0.19
18129.0,,Nb1 Se2,0.19
41477.0,,In1 Se1,0.21
651910.0,,Se2 Sn1,0.21
